time_stamp,state,optimal_action,value
48,75,B,21.3657
48,76,B,21.3657
48,77,B,21.3657
48,78,B,21.3657
48,79,B,21.3657
48,80,B,21.3657
48,81,B,21.3657
48,82,B,21.3657
48,83,B,21.3657
48,84,B,21.3657
48,85,B,21.3657
48,86,B,21.3657
48,87,B,21.3657
48,88,B,21.3657
48,89,B,21.3657
48,90,B,21.3657
48,91,B,21.3657
48,92,B,21.3657
48,93,B,21.3657
48,94,B,21.3657
48,95,B,21.3657
48,96,B,21.3657
48,97,B,21.3657
48,98,B,21.3657
48,99,B,21.3657
48,100,None,-100.0
49,0,AM,50.38492699999999
49,1,AM,49.884492999999985
49,2,AM,49.884492999999985
49,3,B,30.1862
49,4,B,30.1862
49,5,B,30.1862
49,6,B,30.1862
49,7,B,30.1862
49,8,B,30.1862
49,9,B,20.8649
49,10,B,20.8649
49,11,B,20.8649
49,12,B,20.8649
49,13,B,20.8649
49,14,B,20.8649
49,15,B,20.8649
49,16,B,20.8649
49,17,B,20.8649
49,18,B,20.8649
49,19,B,20.8649
49,20,B,20.8649
49,21,B,20.8649
49,22,B,20.8649
49,23,B,20.8649
49,24,B,20.8649
49,25,B,20.8649
49,26,B,20.8649
49,27,B,20.8649
49,28,B,20.8649
49,29,B,20.8649
49,30,B,20.8649
49,31,B,20.8649
49,32,B,20.8649
49,33,B,20.8649
49,34,B,20.8649
49,35,B,20.8649
49,36,B,20.8649
49,37,B,20.8649
49,38,B,20.8649
49,39,B,20.8649
49,40,B,20.8649
49,41,B,20.8649
49,42,B,20.8649
49,43,B,20.8649
49,44,B,20.8649
49,45,B,20.8649
49,46,B,20.8649
49,47,B,20.8649
49,48,B,20.8649
49,49,B,20.8649
49,50,B,20.8649
49,51,B,20.8649
49,52,B,20.8649
49,53,B,20.8649
49,54,B,20.8649
49,55,B,20.8649
49,56,B,20.8649
49,57,B,20.8649
49,58,B,20.8649
49,59,B,20.8649
49,60,B,20.8649
49,61,B,20.8649
49,62,B,20.8649
49,63,B,20.8649
49,64,B,20.8649
49,65,B,20.8649
49,66,B,20.8649
49,67,B,20.8649
49,68,B,20.8649
49,69,B,20.8649
49,70,B,20.8649
49,71,B,20.8649
49,72,B,20.8649
49,73,B,20.8649
49,74,B,20.8649
49,75,B,20.8649
49,76,B,20.8649
49,77,B,20.8649
49,78,B,20.8649
49,79,B,20.8649
49,80,B,20.8649
49,81,B,20.8649
49,82,B,20.8649
49,83,B,20.8649
49,84,B,20.8649
49,85,B,20.8649
49,86,B,20.8649
49,87,B,20.8649
49,88,B,20.8649
49,89,B,20.8649
49,90,B,20.8649
49,91,B,20.8649
49,92,B,20.8649
49,93,B,20.8649
49,94,B,20.8649
49,95,B,20.8649
49,96,B,20.8649
49,97,B,20.8649
49,98,B,20.8649
49,99,B,20.8649
49,100,None,-100.0
50,0,AM,49.38592799999999
50,1,AM,48.888032999999986
50,2,AM,48.888032999999986
50,3,B,29.339
50,4,B,29.339
50,5,B,29.339
50,6,B,29.339
50,7,B,29.339
50,8,B,29.339
50,9,B,20.365
50,10,B,20.365
50,11,B,20.365
50,12,B,20.365
50,13,B,20.365
50,14,B,20.365
50,15,B,20.365
50,16,B,20.365
50,17,B,20.365
50,18,B,20.365
50,19,B,20.365
50,20,B,20.365
50,21,B,20.365
50,22,B,20.365
50,23,B,20.365
50,24,B,20.365
50,25,B,20.365
50,26,B,20.365
50,27,B,20.365
50,28,B,20.365
50,29,B,20.365
50,30,B,20.365
50,31,B,20.365
50,32,B,20.365
50,33,B,20.365
50,34,B,20.365
50,35,B,20.365
50,36,B,20.365
50,37,B,20.365
50,38,B,20.365
50,39,B,20.365
50,40,B,20.365
50,41,B,20.365
50,42,B,20.365
50,43,B,20.365
50,44,B,20.365
50,45,B,20.365
50,46,B,20.365
50,47,B,20.365
50,48,B,20.365
50,49,B,20.365
50,50,B,20.365
50,51,B,20.365
50,52,B,20.365
50,53,B,20.365
50,54,B,20.365
50,55,B,20.365
50,56,B,20.365
50,57,B,20.365
50,58,B,20.365
50,59,B,20.365
50,60,B,20.365
50,61,B,20.365
50,62,B,20.365
50,63,B,20.365
50,64,B,20.365
50,65,B,20.365
50,66,B,20.365
50,67,B,20.365
50,68,B,20.365
50,69,B,20.365
50,70,B,20.365
50,71,B,20.365
50,72,B,20.365
50,73,B,20.365
50,74,B,20.365
50,75,B,20.365
50,76,B,20.365
50,77,B,20.365
50,78,B,20.365
50,79,B,20.365
50,80,B,20.365
50,81,B,20.365
50,82,B,20.365
50,83,B,20.365
50,84,B,20.365
50,85,B,20.365
50,86,B,20.365
50,87,B,20.365
50,88,B,20.365
50,89,B,20.365
50,90,B,20.365
50,91,B,20.365
50,92,B,20.365
50,93,B,20.365
50,94,B,20.365
50,95,B,20.365
50,96,B,20.365
50,97,B,20.365
50,98,B,20.365
50,99,B,20.365
50,100,None,-100.0
51,0,AM,48.38707199999999
51,1,AM,47.89192099999999
51,2,AM,47.89192099999999
51,3,B,28.4983
51,4,B,28.4983
51,5,B,28.4983
51,6,B,28.4983
51,7,B,28.4983
51,8,B,28.4983
51,9,B,19.8652
51,10,B,19.8652
51,11,B,19.8652
51,12,B,19.8652
51,13,B,19.8652
51,14,B,19.8652
51,15,B,19.8652
51,16,B,19.8652
51,17,B,19.8652
51,18,B,19.8652
51,19,B,19.8652
51,20,B,19.8652
51,21,B,19.8652
51,22,B,19.8652
51,23,B,19.8652
51,24,B,19.8652
51,25,B,19.8652
51,26,B,19.8652
51,27,B,19.8652
51,28,B,19.8652
51,29,B,19.8652
51,30,B,19.8652
51,31,B,19.8652
51,32,B,19.8652
51,33,B,19.8652
51,34,B,19.8652
51,35,B,19.8652
51,36,B,19.8652
51,37,B,19.8652
51,38,B,19.8652
51,39,B,19.8652
51,40,B,19.8652
51,41,B,19.8652
51,42,B,19.8652
51,43,B,19.8652
51,44,B,19.8652
51,45,B,19.8652
51,46,B,19.8652
51,47,B,19.8652
51,48,B,19.8652
51,49,B,19.8652
51,50,B,19.8652
51,51,B,19.8652
51,52,B,19.8652
51,53,B,19.8652
51,54,B,19.8652
51,55,B,19.8652
51,56,B,19.8652
51,57,B,19.8652
51,58,B,19.8652
51,59,B,19.8652
