Time Step,State,Action,Q-Value
41,78,B,1.0
41,79,AM,0.0
41,79,B,1.0
41,80,AM,0.0
41,80,B,1.0
41,81,AM,0.0
41,81,B,1.0
41,82,AM,0.0
41,82,B,1.0
41,83,AM,0.0
41,83,B,1.0
41,84,AM,0.0
41,84,B,1.0
41,85,AM,0.0
41,85,B,1.0
41,86,AM,0.0
41,86,B,1.0
41,87,AM,0.0
41,87,B,1.0
41,88,AM,0.0
41,88,B,1.0
41,89,AM,0.0
41,89,B,1.0
41,90,AM,0.0
41,90,B,1.0
41,91,AM,0.0
41,91,B,1.0
41,92,AM,0.0
41,92,B,1.0
41,93,AM,0.0
41,93,B,1.0
41,94,AM,0.0
41,94,B,1.0
41,95,AM,0.0
41,95,B,1.0
41,96,AM,0.0
41,96,B,1.0
41,97,AM,0.0
41,97,B,1.0
41,98,AM,0.0
41,98,B,1.0
41,99,AM,0.0
41,99,B,1.0
41,100,AM,-9.999999999999993
41,100,B,24.172199999999982
42,0,AM,0.0
42,0,B,0.0
42,1,AM,13.640206169898827
42,1,B,34.68537990069911
42,2,AM,11.679321044213955
42,2,B,35.57557051781757
42,3,AM,12.844378544053756
42,3,B,35.571769413631536
42,4,AM,16.183945147531666
42,4,B,35.57539781712783
42,5,AM,20.392189889397105
42,5,B,23.67153410904338
42,6,AM,18.418176433209986
42,6,B,23.67158492626261
42,7,AM,16.883912556661706
42,7,B,23.67159985381885
42,8,AM,16.573385683597852
42,8,B,23.671599996340863
42,9,AM,19.189096000488593
42,9,B,23.67159999842486
42,10,AM,17.59360770971116
42,10,B,23.671599999675692
42,11,AM,18.660847109312353
42,11,B,23.6715999998085
42,12,AM,17.374480171173385
42,12,B,23.671599999860394
42,13,AM,17.0938007725065
42,13,B,23.671599999860394
42,14,AM,19.741949925221018
42,14,B,23.67159999982765
42,15,AM,19.326562137968782
42,15,B,23.67159999955513
42,16,AM,20.221803740857773
42,16,B,23.671599999599618
42,17,AM,19.162694362992383
42,17,B,23.67159999990841
42,18,AM,19.24200498061288
42,18,B,23.671599999964517
42,19,AM,18.713985476371068
42,19,B,23.67159999234965
42,20,AM,18.581014606529948
42,20,B,23.671599998851722
42,21,AM,18.90244895731007
42,21,B,23.671599482415516
42,22,AM,19.72924336853308
42,22,B,23.671599943366427
42,23,AM,17.425998841363935
42,23,B,23.671599482415516
42,24,AM,17.96185332117684
42,24,B,23.671591099108806
42,25,AM,15.841253391799572
42,25,B,23.66923091582448
42,26,AM,10.591828202712442
42,26,B,23.66896768424942
42,27,AM,11.798269015363447
42,27,B,23.65406229290359
42,28,AM,6.504955037665771
42,28,B,23.336493734304973
42,29,AM,3.2175450865600004
42,29,B,15.76650187742884
42,30,AM,0.0
42,30,B,3.26716
42,31,AM,0.18432700000000002
42,31,B,3.26716
42,32,AM,0.18432700000000002
42,32,B,7.1440036000000005
42,33,AM,0.18432700000000002
42,33,B,1.0
42,34,AM,0.0
42,34,B,7.1440036000000005
42,35,AM,0.18432700000000002
42,35,B,3.26716
42,36,AM,0.18432700000000002
42,36,B,1.0
42,37,AM,0.0
42,37,B,5.307604
42,38,AM,0.0
42,38,B,3.26716
42,39,AM,0.18432700000000002
42,39,B,7.1440036000000005
42,40,AM,0.0
42,40,B,3.26716
42,41,AM,0.0
42,41,B,1.0
42,42,AM,0.0
42,42,B,3.26716
42,43,AM,0.0
42,43,B,3.26716
42,44,AM,0.18432700000000002
42,44,B,1.0
42,45,AM,0.0
