Age,From State,To State,Probability
40,0.00000,20.10000,0.00330
40,0.00000,50.80000,0.00060
40,0.00000,20.00000,0.00240
40,0.00000,18.50000,0.00260
40,0.00000,24.20000,0.00250
40,0.00000,21.20000,0.00260
40,0.00000,15.00000,0.00220
40,0.00000,38.90000,0.00360
40,0.00000,23.40000,0.00270
40,0.00000,11.10000,0.00120
40,0.00000,15.60000,0.00150
40,0.00000,30.40000,0.00290
40,0.00000,35.80000,0.00290
40,0.00000,32.00000,0.00220
40,0.00000,33.90000,0.00320
40,0.00000,46.60000,0.00190
40,0.00000,23.20000,0.00250
40,0.00000,20.30000,0.00280
40,0.00000,8.70000,0.00070
40,0.00000,26.10000,0.00210
40,0.00000,18.40000,0.00280
40,0.00000,24.30000,0.00210
40,0.00000,26.80000,0.00310
40,0.00000,27.40000,0.00250
40,0.00000,13.00000,0.00180
40,0.00000,28.00000,0.00270
40,0.00000,24.60000,0.00330
40,0.00000,30.80000,0.00250
40,0.00000,17.30000,0.00260
40,0.00000,33.30000,0.00300
40,0.00000,44.30000,0.00190
40,0.00000,31.30000,0.00180
40,0.00000,55.40000,0.00050
40,0.00000,30.00000,0.00230
40,0.00000,52.70000,0.00140
40,0.00000,22.40000,0.00210
40,0.00000,8.60000,0.00120
40,0.00000,21.30000,0.00310
40,0.00000,23.30000,0.00180
40,0.00000,28.80000,0.00240
40,0.00000,17.40000,0.00250
40,0.00000,42.90000,0.00210
40,0.00000,20.90000,0.00160
40,0.00000,41.30000,0.00220
40,0.00000,52.10000,0.00130
40,0.00000,32.60000,0.00180
40,0.00000,39.10000,0.00290
40,0.00000,14.90000,0.00200
40,0.00000,53.50000,0.00060
40,0.00000,7.10000,0.00110
40,0.00000,19.60000,0.00140
40,0.00000,18.80000,0.00270
40,0.00000,31.90000,0.00270
40,0.00000,48.20000,0.00140
40,0.00000,36.10000,0.00290
40,0.00000,46.40000,0.00170
40,0.00000,29.10000,0.00310
40,0.00000,23.70000,0.00290
40,0.00000,29.30000,0.00170
40,0.00000,46.20000,0.00150
40,0.00000,9.70000,0.00110
40,0.00000,44.00000,0.00230
40,0.00000,39.60000,0.00280
40,0.00000,48.90000,0.00160
40,0.00000,27.90000,0.00160
40,0.00000,25.80000,0.00260
40,0.00000,22.00000,0.00210
40,0.00000,20.60000,0.00240
40,0.00000,33.10000,0.00240
40,0.00000,16.20000,0.00210
40,0.00000,45.00000,0.00220
40,0.00000,29.00000,0.00280
40,0.00000,15.40000,0.00150
40,0.00000,40.60000,0.00240
40,0.00000,14.80000,0.00230
40,0.00000,42.60000,0.00230
40,0.00000,54.00000,0.00080
40,0.00000,39.50000,0.00170
40,0.00000,49.40000,0.00100
40,0.00000,37.50000,0.00210
40,0.00000,49.70000,0.00110
40,0.00000,11.80000,0.00240
40,0.00000,53.20000,0.00180
40,0.00000,17.80000,0.00090
40,0.00000,21.70000,0.00270
40,0.00000,48.10000,0.00130
40,0.00000,36.80000,0.00260
40,0.00000,44.70000,0.00210
40,0.00000,15.80000,0.00200
40,0.00000,7.50000,0.00090
