Age,From State,To State,Probability
42,9.00000,38.00000,0.09574
42,9.00000,5.00000,0.06383
42,41.00000,29.00000,0.36321
42,41.00000,82.00000,0.42453
42,41.00000,30.00000,0.17453
42,41.00000,81.00000,0.03774
42,47.00000,85.00000,0.50292
42,47.00000,35.00000,0.27485
42,47.00000,34.00000,0.22222
42,24.00000,16.00000,0.50800
42,24.00000,67.00000,0.40800
42,24.00000,66.00000,0.00800
42,24.00000,68.00000,0.07600
42,31.00000,21.00000,0.44939
42,31.00000,75.00000,0.15385
42,31.00000,74.00000,0.32794
42,31.00000,22.00000,0.06883
42,42.00000,82.00000,0.32751
42,42.00000,83.00000,0.15284
42,42.00000,30.00000,0.44541
42,42.00000,31.00000,0.07424
42,13.00000,49.00000,0.22981
42,13.00000,48.00000,0.09938
42,13.00000,9.00000,0.14286
42,13.00000,8.00000,0.33540
42,13.00000,50.00000,0.19255
42,5.00000,3.00000,0.37975
42,5.00000,27.00000,0.16456
42,5.00000,26.00000,0.11392
42,5.00000,25.00000,0.10127
42,5.00000,24.00000,0.15190
42,5.00000,4.00000,0.08861
42,30.00000,74.00000,0.21849
42,30.00000,20.00000,0.29412
42,30.00000,73.00000,0.28571
42,30.00000,21.00000,0.20168
42,15.00000,10.00000,0.47340
42,15.00000,54.00000,0.13830
42,15.00000,9.00000,0.05319
42,15.00000,53.00000,0.25532
42,15.00000,52.00000,0.07979
42,53.00000,88.00000,0.48571
42,53.00000,40.00000,0.47619
42,53.00000,41.00000,0.03810
42,14.00000,9.00000,0.52660
42,14.00000,50.00000,0.04787
42,14.00000,52.00000,0.20213
42,14.00000,51.00000,0.22340
42,4.00000,3.00000,0.52273
42,4.00000,22.00000,0.06818
42,4.00000,2.00000,0.09091
42,4.00000,21.00000,0.09091
42,4.00000,20.00000,0.15909
42,4.00000,19.00000,0.02273
42,4.00000,23.00000,0.04545
42,7.00000,34.00000,0.12500
42,7.00000,32.00000,0.15000
42,7.00000,5.00000,0.32500
42,7.00000,4.00000,0.17500
42,7.00000,33.00000,0.18750
42,7.00000,31.00000,0.03750
42,52.00000,87.00000,0.25833
42,52.00000,39.00000,0.40000
42,52.00000,88.00000,0.25000
42,52.00000,40.00000,0.09167
42,8.00000,5.00000,0.50000
42,8.00000,37.00000,0.14286
42,8.00000,36.00000,0.14286
42,8.00000,35.00000,0.19388
42,8.00000,38.00000,0.01020
42,8.00000,34.00000,0.01020
42,48.00000,35.00000,0.32407
42,48.00000,86.00000,0.29630
42,48.00000,36.00000,0.24074
42,48.00000,85.00000,0.13889
42,58.00000,45.00000,0.48148
42,58.00000,90.00000,0.44444
42,58.00000,46.00000,0.07407
42,55.00000,42.00000,0.44262
42,55.00000,43.00000,0.08197
42,55.00000,89.00000,0.47541
42,37.00000,79.00000,0.48120
42,37.00000,26.00000,0.51880
42,51.00000,87.00000,0.50000
42,51.00000,39.00000,0.13158
42,51.00000,38.00000,0.36842
42,2.00000,1.00000,0.25000
42,2.00000,10.00000,0.07143
42,2.00000,12.00000,0.10714
